filename,augmentation,augmentation_intensity,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_rolloff,energy,f0_mean,f0_std,spectral_centroid,zero_crossing_rate,spectral_contrast,harmonic_energy,percussive_energy,harmonic_percussive_ratio
abiodun_approve.ogg,noise_overlay_heavy,heavy,-209.47745436312212,41.80721861490426,-10.502763717443283,23.382804464466112,24.836699317774336,-1.2832966590452102,8.049361049114998,11.754726480637634,-1.632435762099051,-4.117700344269997,1.8522814276803488,0.4326674902592771,-5.646281963294459,13744.707661290322,0.08096179,2022.8574788849483,67.8089579621151,7361.570457917152,0.21979481686827956,14.406947659465047,0.035767753,0.052259225,0.68442947
abiodun_approve.ogg,time_masking_light,light,-382.33782958984375,137.0178680419922,-60.94766616821289,51.00221633911133,39.63123321533203,-9.175971984863281,23.89092445373535,10.310745239257812,1.9606035947799683,3.082305669784546,-2.238959312438965,6.430098533630371,-5.2927093505859375,4180.947580645161,0.078029536,2013.785861730275,74.59622531916774,2568.3596468467,0.0713835685483871,17.603889111051096,0.032280106,0.052393872,0.6161046
abiodun_approve.ogg,time_masking_heavy,heavy,-439.0389709472656,109.30961608886719,-44.942386627197266,35.09853744506836,34.738521575927734,-1.0172252655029297,16.629104614257812,6.837386608123779,2.177614688873291,2.7399399280548096,-2.7063798904418945,3.364645004272461,-5.932494640350342,3453.6290322580644,0.061303627,2011.4791500094525,75.05011087114259,2062.0793458727476,0.04925865255376344,15.928425108321374,0.027020289,0.040539917,0.6665107
abiodun_approve.ogg,reverb_light,light,-1020.389453029705,90.40646287729356,29.02902022234356,45.40047637266764,39.843559354583256,10.847281385785896,21.24848725992409,28.454512311016035,7.6109120225066125,4.979681421421044,15.351804670131619,6.330732892941686,-1.3886598970718282,842.741935483871,0.0003834999,66.78434033143748,2.565400014793219,500.4067391426092,0.005854124663978494,19.858470528539755,0.00036772905,3.5248e-05,10.432593
abiodun_approve.ogg,reverb_heavy,heavy,-1086.4202979292465,48.757434570038996,30.562288783586144,24.562265333747092,24.174283333944782,20.75376971072908,15.725632663924214,12.75795627831313,10.462231560455878,8.17411013898553,6.249943409372541,3.8141884226433005,2.0683959485167502,391.38104838709677,0.00017051212,66.81128120536745,3.016094987693314,201.367408431145,0.000682543682795699,17.659921027865867,0.00016899941,7.4410495e-06,22.711466
abiodun_confirm.ogg,original_with_silence,none,-408.5694885253906,162.19796752929688,-46.95234298706055,23.503286361694336,33.80436706542969,-4.855199337005615,13.49539852142334,6.0699591636657715,2.460531234741211,3.5997490882873535,-5.665408611297607,1.3000257015228271,-0.9425379633903503,3870.6302966101694,0.035316452,1542.0902925019907,198.3046274083386,2083.1340838457663,0.055973031426553674,17.40129763615934,0.011318348,0.027396208,0.4131356
abiodun_confirm.ogg,silence_trimmed,none,-351.7974548339844,184.6725616455078,-74.15274810791016,22.058094024658203,36.32825469970703,-12.773216247558594,12.546201705932617,4.996360778808594,-0.13604643940925598,0.6755900382995605,-9.300739288330078,0.5162147879600525,-2.887845277786255,4084.161931818182,0.046020802,1513.1757963768796,215.56986555807293,2262.485252116123,0.07032359730113637,18.35638800869592,0.015515976,0.034854382,0.4451657
abiodun_confirm.ogg,pitch_shift_up_light,light,-370.987060546875,175.41981506347656,-74.6827621459961,26.00215721130371,30.671642303466797,-15.221964836120605,11.290446281433105,1.059866189956665,-2.181241512298584,-2.5421054363250732,-7.974637031555176,1.518172264099121,-2.5441195964813232,4316.583806818182,0.031769734,78.72560508479502,12.702752716368385,2421.738923137203,0.0823974609375,22.05205588925604,0.010741493,0.023905205,0.449337
abiodun_confirm.ogg,pitch_shift_up_heavy,heavy,-361.85308837890625,155.5231475830078,-73.2242202758789,37.85531997680664,22.20052146911621,-12.744172096252441,12.813528060913086,-3.758828639984131,-4.003068923950195,-7.456488609313965,-3.4213154315948486,4.994790554046631,4.943489074707031,4948.153409090909,0.031800408,110.10779562617135,1.9311154650867532,2733.316640693899,0.09226296164772728,22.804774175645683,0.012656368,0.02255145,0.5612219
abiodun_confirm.ogg,pitch_shift_down_light,light,-375.22576904296875,185.69638061523438,-69.15930938720703,13.444450378417969,39.997982025146484,-11.048426628112793,7.762598991394043,6.031458854675293,-0.1960073560476303,3.27758526802063,-9.075434684753418,-3.3397915363311768,-3.8872385025024414,3828.125,0.035168707,81.04617502727267,9.466677343559452,2128.0046262219453,0.06948020241477272,22.07732674028398,0.013658091,0.025060026,0.54501504
abiodun_confirm.ogg,pitch_shift_down_heavy,heavy,-390.37127685546875,201.2699432373047,-63.79644012451172,0.22123603522777557,45.15218734741211,-6.893174648284912,4.594505310058594,11.522802352905273,0.2500370442867279,7.671437740325928,-2.3800623416900635,-4.462127685546875,0.3916211426258087,3380.5042613636365,0.034041196,74.04507821774126,5.79245168920155,1872.7222603697155,0.06092788233901515,21.859881558584146,0.014212536,0.023669174,0.6004661
abiodun_confirm.ogg,time_stretch_speedup_light,light,-370.3198547363281,179.5575714111328,-72.22514343261719,20.929779052734375,36.560768127441406,-12.09401798248291,11.59449577331543,4.741062641143799,-1.260467529296875,-0.6563262939453125,-10.142244338989258,-0.7031673192977905,-3.4737446308135986,4094.53125,0.034770403,82.87413597880821,11.116015667730368,2257.8048621282846,0.07271321614583333,19.0732216433551,0.013097195,0.025729608,0.5090321
abiodun_confirm.ogg,time_stretch_speedup_heavy,heavy,-375.2863464355469,191.5766143798828,-80.23704528808594,24.280742645263672,36.73544692993164,-14.764509201049805,11.832316398620605,1.112055778503418,-1.8659809827804565,0.7215511202812195,-10.546852111816406,0.635235607624054,-3.603513717651367,4090.423886138614,0.03287143,84.7070230438716,12.763266736637728,2266.2467606407045,0.07537902227722772,19.048484882124136,0.011342621,0.02491534,0.4552465
abiodun_confirm.ogg,time_stretch_slowdown_light,light,-377.0992736816406,177.0834197998047,-71.92896270751953,18.891151428222656,35.074317932128906,-12.72367000579834,10.432856559753418,4.80763053894043,-0.31225115060806274,-0.005827812477946281,-9.890243530273438,-1.1193628311157227,-3.525298595428467,4110.231164383562,0.031151589,1534.7525847023626,207.84776587104525,2294.699568781737,0.07740261130136987,19.222555555565666,0.01240224,0.021480672,0.5773674
